symbol,12M,1M,1W,3M,6M,9M
EASEMYTRIP,-73.4558,-1.2422,0.3788,-17.7019,-27.7273,-34.9427
EDELWEISS,8.5525,0.7357,6.8288,19.8538,14.7604,17.8514
EIEL,9.0211,-6.9226,-0.0664,-11.6611,4.9512,-3.7929
ELECTCAST,-44.7323,-15.358,-2.9957,-23.3555,-25.0581,-20.4362
EMBDL,-30.5402,-10.3184,-2.0242,-16.5312,-17.8261,-36.0128
EMIL,-22.7064,-10.2415,-2.5127,5.4183,6.152,1.6003
ENGINERSIN,11.647,1.0547,3.1207,3.0517,-0.2292,18.2393
EPACKPEB,71.798,63.5869,3.0355,71.798,71.798,71.798
EQUITASBNK,-8.5858,2.9311,2.9311,9.321,-6.566,0.6368
ESSENTIA,-40.8304,-2.8409,-0.5814,-14.5,-28.75,-36.4312
ETERNAL,43.6918,-10.173,-0.6704,-6.9821,32.6303,43.6918
EXIDEIND,-8.082,-4.4754,1.061,-3.8607,-0.3661,4.2978
EXXARO,-89.5656,21.3904,-2.5751,2.1372,38.4146,11.0024
FABTECH,19.5866,19.5866,3.7199,19.5866,19.5866,19.5866
FCL,-92.2483,-89.4208,2.4632,-89.8584,-89.0209,-90.1017
FCSSOFT,-34.0491,2.8708,-1.3761,-13.3065,-18.5606,-25.8621
FEDERALBNK,17.9825,4.0426,0.1569,18.3015,17.443,31.365
FEDFINA,48.6348,-0.7308,5.948,8.1956,54.9243,55.0896
FILATEX,-12.6519,-0.7085,-3.111,2.7116,15.9222,31.689
FILATFASH,-27.8689,-8.3333,0.0,-21.4286,-27.8689,-27.8689
FISCHER,-92.4277,-40.4339,-24.5441,-94.3305,-92.4277,-92.4277
FIVESTAR,0.8142,21.1135,2.9828,10.788,-6.4099,-7.6382
FORTIS,44.5952,-14.2086,-4.9853,-2.7232,29.5524,51.4007
FSL,6.9596,13.8954,2.7188,-2.1449,-2.8916,-1.4536
GAIL,-1.1054,2.7968,0.5868,2.9699,-4.7765,11.6923
GALLANTT,94.1923,-0.8884,-10.9711,-6.0818,25.8646,78.2972
GARUDA,177.8289,16.6904,4.2222,14.1236,121.9727,111.8038
GATECH,-11.4286,-7.4627,-4.6154,-6.0606,-21.519,-11.4286
GATECHDVR,-37.8049,-5.5556,-1.9231,-5.5556,-39.2857,-37.8049
GENUSPOWER,-20.0579,10.4115,-3.2832,-4.7427,-4.192,20.1813
GKENERGY,18.3081,-13.1168,6.0946,18.3081,18.3081,18.3081
GLOBE,-34.6512,20.6009,-0.7067,18.5654,12.4,-4.7458
GMBREW,60.9058,2.8785,2.7461,74.2541,66.2801,78.3156
GMDCLTD,73.4719,-1.8333,-5.3842,35.175,63.6206,112.6241
GMRAIRPORT,11.9733,4.0344,0.1885,5.1203,7.5548,36.8082
GMRP&UI,17.7719,2.4417,2.9145,0.7194,1.9128,10.0942
GODREJCP,-2.9747,0.8799,0.7115,-8.052,-9.2959,8.9622
GOKULAGRO,-36.9517,17.6587,8.642,-41.0117,-20.0805,-29.9501
GOLD1,65.3177,-1.4883,0.5384,26.4724,30.2366,43.9901
GOLDBEES,65.0397,-1.265,0.5034,26.4742,30.0714,44.0205
GOLDCASE,65.4912,-1.45,0.4587,26.5896,29.8419,44.2899
GOLDETF,65.572,-1.3742,0.8681,26.6978,30.1857,44.1176
GOLDIETF,65.3159,-0.8685,0.4118,26.566,30.2695,44.3234
GOLDSHARE,65.7998,-1.8657,0.3817,26.4423,30.0371,44.1096
GPIL,47.9125,9.6536,0.5451,26.5319,38.7872,59.8683
GPPL,-0.6946,9.0733,-2.9381,11.8571,20.2468,28.0972
GRAPHITE,20.0189,4.2586,0.3247,5.131,7.8788,35.9776
GREAVESCOT,26.5494,2.3408,4.0591,-1.4544,0.2808,-19.9202
GREENPOWER,-25.0282,1.7598,-1.1887,-7.6389,3.1808,2.3865
GRMOVER,142.1061,16.2777,7.9973,29.0258,58.2195,121.0548
GRSE,108.815,9.8635,3.9915,13.0002,5.1121,119.6104
GSFC,1.2522,0.6222,4.5129,-10.4592,-3.8471,1.8039
GSLSU,-24.6202,22.5303,3.8114,14.2441,5.669,23.7804
GTLINFRA,-33.0144,-4.1096,0.7194,-8.4967,-4.7619,-14.6341
HAL,15.9876,-2.679,-2.731,5.85,-6.1548,40.4126
HARDWYN,-53.2018,32.4434,5.3411,14.4755,17.6851,17.6851
HATHWAY,-26.9061,-1.4158,0.0756,-11.5642,-12.7309,-6.6337
HBLENGINE,64.9062,10.3014,4.7375,31.4856,82.9249,117.7086
HCC,-27.4604,-7.4675,0.8651,-8.229,-12.1575,-2.8777
HCLTECH,-13.1008,6.6337,1.5669,6.5909,-2.3515,-6.2386
HDFCBANK,-41.9623,-1.3311,-0.2118,-50.2263,-48.4556,-41.5303
HDFCGOLD,65.6105,-1.6341,0.5914,26.4456,30.0522,43.6327
HDFCLIFE,12.0492,4.2371,1.2829,-2.8686,2.3616,24.2193
HDFCSILVER,75.7097,3.7934,3.2627,43.2304,62.3651,62.348
HDFCSML250,2.5371,-0.2434,0.4844,0.2329,4.4531,16.8918
HEG,23.4211,1.7956,-2.9898,2.7689,7.4344,43.6047
HFCL,-40.6137,-0.7198,-3.1162,0.7838,-10.2249,-15.1549
HINDALCO,23.4391,2.2,1.2472,14.6679,23.7241,22.9669
HINDCOPPER,26.7965,-2.9246,-6.7973,39.3565,48.0394,50.6606
HINDPETRO,31.0237,6.2479,-1.363,23.1448,19.9377,48.9938
HINDUNILVR,0.1981,-6.4254,0.0082,-9.0681,4.1618,8.2997
HINDZINC,-1.8737,0.1336,-0.0923,13.2674,10.0927,14.1568
HITECH,-35.4367,-6.8806,-0.0563,21.0891,12.1866,-4.8933
HLEGLAS,33.1599,-7.5475,-3.5693,-9.1368,25.0932,83.2329
HONASA,-1.7325,5.2802,6.2762,-1.7986,6.1564,30.5242
HSCL,-8.779,-1.1739,-1.0017,-4.8157,-4.2343,-0.5143
HUDCO,11.7064,-0.5769,-1.3914,6.1104,-0.0308,19.9462
HYUNDAI,36.2065,1.4162,0.0042,-5.3053,27.0614,31.0473
ICICIBANK,9.5377,-1.2443,1.0822,-4.0263,-4.7916,11.3589
ICICIPRULI,-9.1965,5.4797,0.7604,-0.4114,1.5651,9.6603
IDBI,32.1821,7.3751,2.2569,12.0674,8.261,38.2405
IDEA,50.8966,22.3714,6.8359,61.1193,62.0741,36.0697
IDFCFIRSTB,22.7377,4.5496,-0.3222,12.8842,20.2782,32.6571
IEX,-14.7347,-0.5351,-1.2846,-3.912,-29.4,-18.5709
IFCI,-9.8666,-2.4077,1.2209,0.2198,9.6154,17.7027
IGIL,-26.7537,3.4783,-0.3753,1.4105,-7.2935,-17.5388
IGL,-34.5762,2.6401,2.098,3.6203,4.1073,5.5909
IIFL,31.0584,9.5257,1.2113,16.0764,32.214,71.2989
IIFLCAPS,-7.7725,-10.3877,-2.9458,-4.1622,14.3226,32.8045
INDHOTEL,-2.2246,-2.9879,3.3035,-10.6594,-6.3349,-4.8512
INDIANB,64.5259,6.7154,0.0634,29.6097,46.5986,68.2717
INDORAMA,42.735,-19.9913,-9.4033,5.7977,28.1628,40.8742
INDRAMEDCO,32.7722,-3.4012,-0.6074,17.4272,32.2437,38.2472
INDUSINDBK,-15.5634,11.6486,2.6813,9.0015,8.0573,-18.7305
INDUSTOWER,27.6033,16.3516,2.9331,18.118,7.3968,22.5773
INFIBEAM,-28.8963,0.7928,8.4139,14.7413,-0.5735,-4.0744
INFY,-17.0388,2.8681,-1.797,0.4411,-2.8885,-17.2011
INOXGREEN,71.735,-2.935,-1.633,58.1349,40.6415,95.4121
INOXWIND,-21.2739,1.2944,-2.0294,3.1209,-19.2692,-13.9924
