trade_date,avg_price_change,median_price_change,price_volatility,stocks_traded,avg_intraday_volatility,median_volatility,max_volatility,total_volume,total_turnover,unique_stocks,advance_decline_ratio,advancing_stocks,declining_stocks,unchanged_stocks,moon_sign,moon_degree,element,quality,ruling_planet,predicted_volatility,risk_level,market_tendency,sign_numeric,element_numeric,quality_numeric
2025-02-25,0.3443,-0.0371,1.2303,8,1.5298,1.2805,3.2655,61291397,96311132000.0,8,0.5,4,4,0,Aquarius,3.33,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-02-27,-0.1517,-0.0984,0.8726,8,1.5395,1.3744,2.3184,73165661,112262526000.0,8,0.5,4,4,0,Pisces,1.76,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-02-28,-1.5272,-1.4249,2.2788,8,3.151,2.888,5.4173,121663422,184839041000.0,8,0.125,1,7,0,Pisces,15.28,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-03-03,-0.1599,0.4886,1.5026,8,2.2624,2.1306,4.1902,68146373,102004201000.0,8,0.625,5,3,0,Aries,25.33,Fire,Cardinal,Mars,1.4,High,Aggressive Bull Runs,1,2,0
2025-03-04,0.752,0.488,1.3389,8,1.8059,1.5468,3.8023,61517732,86179563000.0,8,0.625,5,3,0,Taurus,9.36,Earth,Fixed,Venus,0.7,Low,Steady Accumulation,10,1,1
2025-03-05,0.9353,0.9775,1.0201,8,2.037,2.1162,3.1052,57842638,86401043000.0,8,0.75,6,2,0,Taurus,24.0,Earth,Fixed,Venus,0.7,Low,Steady Accumulation,10,1,1
2025-03-06,0.2642,0.2752,0.7089,8,1.8662,1.7291,2.5525,74255286,110155435000.0,8,0.75,6,2,0,Gemini,9.18,Air,Mutable,Mercury,1.2,Medium-High,Quick Reversals,4,0,2
2025-03-07,0.317,0.1946,1.104,8,1.6365,1.4528,3.5197,51064879,74029873000.0,8,0.75,6,2,0,Gemini,24.58,Air,Mutable,Mercury,1.2,Medium-High,Quick Reversals,4,0,2
2025-03-10,-0.348,-0.4963,0.903,8,1.7062,1.6748,2.5386,48616431,70817842000.0,8,0.25,2,6,0,Leo,7.94,Fire,Fixed,Sun,1.1,Medium,Strong Leadership,5,2,1
2025-03-11,0.7473,0.6358,1.0622,8,1.9603,1.5792,3.2117,58525689,89092405000.0,8,0.875,7,1,0,Leo,20.61,Fire,Fixed,Sun,1.1,Medium,Strong Leadership,5,2,1
2025-03-12,-0.9747,-0.6938,1.3845,8,2.5891,2.2306,4.8905,67777694,104962080000.0,8,0.125,1,7,0,Virgo,2.41,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-03-13,-0.4831,-0.5088,0.5886,8,1.4198,1.4101,2.2354,50662278,76345208000.0,8,0.25,2,6,0,Virgo,13.54,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-03-17,0.5651,0.283,1.237,8,1.9119,1.7418,3.1615,61859609,95480255000.0,8,0.625,5,3,0,Libra,25.84,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-03-18,0.7839,1.0612,1.2563,8,2.0094,2.088,2.7974,68369704,102908157000.0,8,0.75,6,2,0,Scorpio,6.99,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-03-19,0.1741,0.508,0.9302,8,1.4734,1.3081,2.3752,60994054,91833120000.0,8,0.75,6,2,0,Scorpio,18.76,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-03-20,1.0868,1.1114,0.8612,8,2.0097,1.8698,3.8283,67279527,105642345000.0,8,0.5,8,0,0,Sagittarius,1.27,Fire,Mutable,Jupiter,1.0,Medium,Expansive Growth,8,2,2
2025-03-21,1.2543,0.9349,0.941,8,2.3437,2.4277,4.3525,140600570,212271512000.0,8,0.5,8,0,0,Sagittarius,14.53,Fire,Mutable,Jupiter,1.0,Medium,Expansive Growth,8,2,2
2025-03-24,0.6779,0.832,1.2349,8,2.1394,2.0599,3.6741,67212571,98618083000.0,8,0.75,6,2,0,Capricorn,27.14,Earth,Cardinal,Saturn,0.6,Very Low,Disciplined Climb,3,1,0
2025-03-25,-0.275,-0.3456,1.181,8,2.169,2.0687,2.5578,86992786,137999536000.0,8,0.5,4,4,0,Aquarius,11.35,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-03-26,-0.8564,-0.9115,0.5297,8,1.977,1.956,2.6292,60729369,95645427000.0,8,0.5,0,8,0,Aquarius,25.23,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-03-27,0.5776,0.7535,0.7652,8,1.8182,1.9542,2.3833,88260586,136845838000.0,8,0.875,7,1,0,Pisces,8.76,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-03-28,-0.3151,-0.2303,0.7027,8,2.2475,1.9906,4.9472,62761055,96423629000.0,8,0.25,2,6,0,Pisces,22.11,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-04-01,-0.7453,-0.8886,0.9204,8,2.3709,2.3669,3.2974,71661729,112122293000.0,8,0.25,2,6,0,Taurus,18.57,Earth,Fixed,Venus,0.7,Low,Steady Accumulation,10,1,1
2025-04-02,0.6914,0.5804,0.7824,8,1.4564,1.3906,2.5262,45157878,69641530000.0,8,0.75,6,2,0,Gemini,4.25,Air,Mutable,Mercury,1.2,Medium-High,Quick Reversals,4,0,2
2025-04-03,-0.0892,0.5838,1.5482,8,1.9099,1.7181,3.232,44147018,71080984000.0,8,0.625,5,3,0,Gemini,20.25,Air,Mutable,Mercury,1.2,Medium-High,Quick Reversals,4,0,2
2025-04-04,-1.3734,-1.0626,1.5678,8,2.6054,2.0265,4.8971,76650549,123178000000.0,8,0.25,2,6,0,Cancer,6.04,Water,Cardinal,Moon,1.3,High,Emotional Extremes,2,3,0
2025-04-07,1.4308,1.4765,2.6005,8,5.0411,4.8069,7.5919,123425537,185869222000.0,8,0.625,5,3,0,Leo,18.1,Fire,Fixed,Sun,1.1,Medium,Strong Leadership,5,2,1
2025-04-08,0.3689,0.1195,0.5907,8,2.4386,2.4616,3.2385,91781336,139604607000.0,8,0.625,5,3,0,Virgo,0.06,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-04-09,-0.7839,-0.2782,1.6345,8,2.0384,1.8207,3.5137,67364583,102230315000.0,8,0.14285714285714285,1,6,1,Virgo,11.25,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
